label,species,has_bill_shape,has_wing_color,has_upperparts_color,has_underparts_color,has_breast_pattern,has_back_color,has_tail_shape,has_upper_tail_color,has_head_pattern,has_breast_color,has_throat_color,has_eye_color,has_bill_length,has_forehead_color,has_under_tail_color,has_nape_color,has_belly_color,has_wing_shape,has_size,has_shape,has_back_pattern,has_tail_pattern,has_belly_pattern,has_primary_color,has_leg_color,has_bill_color,has_crown_color,has_wing_pattern
1,Black_footed_Albatross,curved_down,black,black,white,solid,black,rounded_tail,black,plain,black,white,brown,about_the_same_as_head,black,white,black,white,long-wings,large_(16_-_32_in),upright-perching_water-like,solid,solid,solid,black,pink,black,black,solid
2,Laysan_Albatross,hooked_seabird,white,white,white,solid,white,rounded_tail,white,eyebrow,white,white,grey,about_the_same_as_head,white,white,white,white,long-wings,large_(16_-_32_in),upright-perching_water-like,solid,solid,solid,white,white,grey,white,solid
3,Sooty_Albatross,curved_down,black,black,white,solid,black,forked_tail,black,plain,white,white,brown,about_the_same_as_head,black,black,black,white,long-wings,large_(16_-_32_in),gull-like,solid,solid,solid,black,black,black,black,solid
4,Groove_billed_Ani,hooked_seabird,black,black,black,solid,black,rounded_tail,black,plain,black,black,black,about_the_same_as_head,black,black,black,black,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,black,black,black,black,solid
5,Crested_Auklet,curved_up_or_down,black,black,white,striped,black,rounded_tail,black,crested,black,white,black,about_the_same_as_head,black,white,black,white,rounded-wings,small_(5_-_9_in),pigeon-like,solid,solid,solid,black,black,black,black,solid
6,Least_Auklet,specialized,black,black,white,solid,black,rounded_tail,black,capped,black,white,brown,about_the_same_as_head,black,black,black,white,rounded-wings,small_(5_-_9_in),upland-ground-like,solid,solid,solid,black,black,black,black,solid
7,Parakeet_Auklet,hooked_seabird,black,black,black,solid,black,forked_tail,black,plain,black,black,black,about_the_same_as_head,black,black,black,black,rounded-wings,medium_(9_-_16_in),upright-perching_water-like,solid,solid,solid,black,black,black,black,solid
8,Rhinoceros_Auklet,hooked_seabird,black,black,white,solid,black,rounded_tail,black,plain,black,white,black,about_the_same_as_head,black,black,black,white,rounded-wings,medium_(9_-_16_in),gull-like,solid,solid,solid,black,black,black,black,solid
9,Brewer_Blackbird,curved_(up_or_down),black,black,black,solid,black,rounded_tail,black,plain,black,black,yellow,about_the_same_as_head,black,black,black,black,rounded-wings,medium_(9_-_16_in),perching-like,solid,solid,solid,black,black,black,black,solid
10,Red_winged_Blackbird,conical,black,black,black,solid,black,rounded_tail,black,black_capped,black,black,black,about_the_same_as_head,black,black,black,black,pointed-wings,medium_(9_-_16_in),upland-ground-like,solid,solid,solid,black,black,black,black,solid
11,Rusty_Blackbird,curved_down,black,black,rusty,solid,black,rounded_tail,black,plain,rusty,rusty,brown,longer_than_head,black,black,black,rusty,pointed-wings,medium_(9_-_16_in),owl-like,solid,solid,solid,black,black,black,black,solid
12,Yellow_headed_Blackbird,all-purpose,black,black,yellow,solid,black,rounded_tail,black,plain,black,yellow,yellow,about_the_same_as_head,yellow,yellow,black,yellow,pointed-wings,medium_(9_-_16_in),upland-ground-like,solid,solid,solid,yellow,black,black,yellow,solid
13,Bobolink,cone,black,black,white,spotted,black,forked_tail,white,eyebrow,black,black,brown,about_the_same_as_head,black,white,black,white,pointed-wings,small_(5_-_9_in),upland-ground-like,striped,spotted,solid,black,black,black,black,striped
